x	y	cluster	words
-16.26846	50.4066	2	_appearance_
14.69974	-23.295614	2	overspreading
41.83385	13.999891	8	disposition
-42.673004	13.861014	12	desperate
-56.630768	-11.579048	12	suppressed
-8.97036	-10.099672	2	foundations
41.184624	31.752588	10	remains
36.25788	10.346098	19	irregularity
-45.40864	-32.741295	2	dissolved
45.210964	23.00478	12	Westerham
10.409957	-5.0708156	19	Which
-34.85476	28.572771	19	rashness
14.074835	-17.770018	12	cluster
-23.329208	-49.47369	17	night
-50.132477	-20.546484	19	believes
-13.356789	-32.779865	7	You
17.976578	27.90222	2	explore
10.547108	-27.852608	2	Despite
-10.648534	-19.767406	2	strikingly
23.891975	-3.001507	18	supper
6.9899936	-27.186224	2	self-imposed
-26.370514	-41.11556	2	tremblings
-19.537031	44.110264	10	advance
-4.18407	-38.270103	2	misleading
39.326256	1.3468732	2	sharpened
-6.487884	-30.34518	2	compressed
25.250803	-1.6079549	2	contemptuously
-33.82432	-50.221294	0	occasions
11.872363	-5.687459	19	unalterable
-22.495934	43.076477	2	undoubted
35.400272	35.047363	12	transcription
-7.6494946	-33.76675	18	Yet
-27.57188	-36.992855	18	propriety
51.836346	21.382534	12	UNDER
-15.516371	-52.581497	2	counteracted
32.932262	4.4899054	19	household
1.3028972	-19.623413	8	easily
-49.706093	-2.125753	0	dependence
-6.171132	55.91706	19	diligence
-42.865784	-40.81128	10	hated
-46.335106	18.94104	9	of
-22.043339	-43.00089	12	pursued
-16.348305	51.157967	0	_do_
-7.5126066	-41.30873	10	breakfast-room
-50.490334	-9.114452	10	possession
-5.524256	-22.450779	6	moment
-25.762764	-49.89028	2	condescends
-35.727367	-44.4399	19	_were_
-19.489395	-48.864353	19	silenced
-0.08721517	-2.665436	12	catch
32.386337	-2.2502832	2	blowsy
15.179547	18.248224	3	news
-44.79159	5.3290095	19	exhibition
1.8685093	-40.884224	12	conversations
40.39928	4.932728	12	AK
13.160883	4.4161325	12	wonderfully
-4.39167	0.86563045	19	unattended
-7.8446026	-3.2510402	2	plainer
-8.227398	-31.166191	19	half-laughing
14.755783	-4.065466	0	_we_
27.099594	9.798727	12	invectives
-22.60748	42.388367	18	feared
-38.792316	-35.97392	2	BENNET
32.989063	38.85083	2	fancying
-51.31474	-4.731824	14	compliment
5.443156	22.82026	19	discreditable
-6.537017	-16.38539	2	oppose
1.636455	5.2034106	2	indefinite
11.288828	28.044722	0	drink
-42.841167	-34.04532	12	recovering
-47.912792	10.674093	10	improbable
34.038803	37.119095	2	concise
22.974699	-1.7892119	14	nephew
28.758852	13.519675	12	effusions
-54.348766	-22.021502	2	inconsistency
24.81831	40.229572	19	benefiting
-16.328299	-33.708324	0	obtain
0.6994998	-40.644447	2	teaching
2.79516	18.483065	2	accosted
-38.63837	-42.52055	19	positions
28.451996	13.434816	12	anecdote
-4.766756	-41.889942	14	dared
1.8089362	-0.9844736	19	hears
-46.946846	-35.434494	2	SEND
26.121138	7.1235585	10	forming
25.51043	26.312565	12	provoked
35.66478	29.238865	12	well-educated
-3.631321	-45.195415	19	angrily
-31.036589	-45.805008	10	inquired
-43.064938	18.68882	0	afforded
-16.111307	-49.191425	14	resolution
10.336509	25.96029	14	reply
21.03071	22.234903	0	entail
12.560789	-6.9578204	9	on
-37.856617	25.964045	19	controverted
24.83792	18.882809	2	tribute
45.1231	9.254738	2	brilliancy
-53.52598	-2.2287166	18	concerns
-18.95891	-39.482292	0	uneasy
27.379293	10.574213	10	Character
29.743301	29.131956	2	exclamation
39.703613	12.475659	19	acquiesce
15.472637	20.179924	2	retreating
34.006664	35.21264	1	till
